latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd28,rcvr_clk_ns
39.71490961111111,-105.11522510555554,1693.7305,0.58639,163,2019,0.999335,-37.072
39.714909625000004,-105.11522510833333,1693.7319,0.58611,163,2019,0.999335,-37.285
39.71490961111111,-105.11522511944443,1693.7286,0.58583,163,2019,0.999335,-37.478
39.714909625000004,-105.11522509722221,1693.7281,0.58556,163,2019,0.999335,-36.957
39.714909619444455,-105.11522511944443,1693.7251,0.58528,163,2019,0.999335,-38.459
39.714909675,-105.115225125,1693.7272,0.58500,163,2019,0.999335,-38.178
39.714909669444445,-105.11522507777778,1693.7277,0.58472,163,2019,0.999335,-37.760
39.71490960277778,-105.11522508888886,1693.7263,0.58444,163,2019,0.999335,-38.569
39.714909591666675,-105.11522508055553,1693.7256,0.58417,163,2019,0.999335,-38.739
39.71490961111111,-105.11522510555554,1693.7265,0.58389,163,2019,0.999335,-39.087
39.714909547222234,-105.11522513611109,1693.729,0.58361,163,2019,0.999335,-38.843
39.714909522222236,-105.11522510555554,1693.7279,0.58333,163,2019,0.999335,-38.585
39.714909547222234,-105.11522508333331,1693.7291,0.58306,163,2019,0.999335,-38.279
39.7149095638889,-105.11522509444443,1693.7302,0.58278,163,2019,0.999335,-38.466
39.714909536111115,-105.115225075,1693.7257,0.58250,163,2019,0.999335,-37.642
39.714909547222234,-105.11522508888886,1693.7274,0.58222,163,2019,0.999335,-38.401
39.71490956111112,-105.11522508055553,1693.7261,0.58194,163,2019,0.999335,-37.915
39.714909527777785,-105.11522515277775,1693.7243,0.58167,163,2019,0.999335,-37.527
39.714909547222234,-105.11522512222221,1693.7245,0.58139,163,2019,0.999335,-38.521
39.714909508333335,-105.11522513055553,1693.7226,0.58111,163,2019,0.999335,-38.962
39.71490951944446,-105.11522513055553,1693.7207,0.58083,163,2019,0.999335,-38.453
39.714909522222236,-105.11522510277776,1693.7217,0.58056,163,2019,0.999335,-38.802
39.714909569444444,-105.11522514166666,1693.7197,0.58028,163,2019,0.999335,-38.729
39.714909544444446,-105.115225125,1693.73,0.58000,163,2019,0.999335,-38.066
39.71490951944446,-105.11522515277775,1693.7271,0.57972,163,2019,0.999335,-37.694
